max_throttle,min_throttle,throttle_ramp_rate,safety_margin,rollout_distance,pursuit_lookahead,pursuit_blend,progress_weight,clearance_weight,smoothness_weight,steering_penalty_weight,gap_alignment_weight,turn_commitment_weight,max_steering_delta,temporal_blend,disparity_threshold,max_jump_distance,history_penalty_radius,history_penalty_weight,gap_threshold_scale,max_gap_threshold,turn_prediction_gain,forward_critical_distance,forward_warning_distance,forward_caution_distance,laps_completed,runtime,avg_lap_time,lap_consistency,collisions,collisions_per_lap,success,endurance_score
0.25,0.03,0.02,0.12,3.5,1.8,0.3,3,1,-0.5,-0.9,1.5,2,0.06,0.1,0.4,0.8,2,6,0.45,2.5,0.1,0.4,0.6,2,0,75.9257020950317,999,999,50,50,0,-8492.5
0.2,0.03,0.02,0.1,3.5,1.5,0.7,6,4,-0.5,-0.5,2,2,0.06,0.2,0.25,1.5,1.5,2,0.35,2.5,0.25,0.7,0.6,1,2,61.7874217033386,30.8937108516693,999,50,25,0,-6042.23427712917
0.3,0.05,0.015,0.16,1.5,1.2,0.8,5,2,-2,-0.7,1,7,0.12,0.2,0.25,1.2,1.2,4,0.35,3,0.5,0.4,0.6,1,7,72.7631952762604,10.3947421823229,0.556323013838382,50,7.14285714285714,0,-923.768470524999
0.15,0.07,0.015,0.2,3,2.4,0.8,2,4,-2.5,-0.9,2,1,0.1,0.15,1,2,1,2,0.25,2,0.5,0.4,0.8,1.5,7,119.98015332222,17.1400219031743,0.985692182665004,50,7.14285714285714,0,-942.778515671261
0.35,0.03,0.03,0.12,2,1.5,0.7,2,5,-1,-0.5,1,7,0.1,0.15,0.25,1.2,0.8,6,0.45,3,0.35,0.7,0.8,1.5,12,103.719841957092,8.64332016309102,0.808421086583339,50,4.16666666666667,0,-845.650405840644
0.45,0.07,0.015,0.2,3,1.5,0.2,1,5,-0.5,-0.9,2.5,4,0.06,0.2,1,1.5,1.5,2,0.35,2.5,0.1,0.4,0.6,1,10,87.9862475395203,8.79862475395203,0.806322832993685,50,5,0,-876.028176049848
0.35,0.07,0.02,0.08,2.5,1.2,0.8,3,4,-2,-0.9,1.5,5,0.06,0.2,0.5,0.8,0.8,2,0.25,2.5,0.35,0.3,1,1,8,79.1304814815521,9.89131018519402,0.408478102514747,50,6.25,0,-906.770665975559
0.2,0.07,0.02,0.22,3.5,1.2,0.4,2,5,-2,-0.9,2,3,0.08,0.3,0.25,2,1.2,6,0.45,1.5,0.1,0.4,0.8,1.2,0,36.738436460495,999,999,50,50,0,-8492.5
0.45,0.05,0.03,0.2,3.5,2.1,0.5,6,5,-1.5,-0.9,1,1,0.04,0.1,1,1.2,1,1,0.25,2.5,0.35,0.4,0.8,2,0,30.1197130680084,999,999,50,50,0,-8492.5
0.35,0.07,0.01,0.12,2.5,2.4,0.3,5,4,-1.5,-0.1,2,1,0.08,0.05,1,2,1,8,0.6,2.5,0.25,0.4,0.8,1.5,15,108.243788480759,7.21625256538391,0.227384238655218,42,2.8,1,-634.177552606736
0.4,0.03,0.005,0.18,1.5,1.2,0.2,5,1,-1.5,-0.3,2,2,0.1,0.2,0.25,0.8,1.2,2,0.25,3,0.2,0.3,1,1.5,13,133.642307043076,10.280177464852,0.692527605111252,51,3.92307692307692,0,-854.163081687686
0.2,0.07,0.01,0.2,1.5,2.1,0.8,4,4,-2,-0.1,1.5,3,0.06,0.3,0.4,2,1.2,2,0.25,1.5,0.35,0.4,1.3,1.5,13,135.028562545776,10.3868125035213,0.0961672998017911,12,0.923076923076923,0,-71.4478677578121
0.25,0.07,0.005,0.16,2,1.5,0.5,4,2,-1.5,-0.1,2,5,0.08,0.2,0.25,1.2,1.2,1,0.6,2,0.2,0.4,1,1.2,15,133.228148937225,8.88187659581502,0.334433170093915,24,1.6,1,-278.876857340007
0.3,0.05,0.015,0.16,1.5,1.8,0.4,1,4,-0.5,-0.3,2,7,0.1,0.1,1,1.5,1,6,0.35,2,0.1,0.3,0.8,1.5,11,109.690675735474,9.97187961231579,1.03085631277254,50,4.54545454545455,0,-865.083980594652
0.3,0.03,0.01,0.2,2.5,2.1,0.3,2,2,-0.5,-0.3,1.5,1,0.1,0.15,0.25,1.2,0.8,6,0.45,3,0.25,0.4,0.6,1,15,114.076502799988,7.60510018666585,0.482538151282431,45,3,1,-696.425441223077
0.15,0.07,0.015,0.08,3.5,2.4,0.8,1,3,-0.5,-0.1,0.5,4,0.1,0.2,0.25,1.2,1.2,8,0.35,3,0.1,0.5,1.3,1.5,7,135.053381919861,19.2933402742658,0.689652182781,42,6,0,-786.68161159957
0.2,0.03,0.015,0.14,3.5,2.1,0.8,3,5,-1.5,-0.5,2,1,0.12,0.1,0.7,1.5,2,4,0.45,3,0.2,0.3,0.6,1.2,3,82.4505262374878,27.4835087458293,0.0447078943252564,50,16.6666666666667,0,-1023.9323113362
0.35,0.07,0.015,0.1,2,1.2,0.6,4,1,-1.5,-0.1,2,5,0.12,0.05,0.7,1.5,1.5,4,0.35,1.5,0.5,0.3,0.6,2,7,71.8697030544281,10.2671004363469,0.524955658483288,50,7.14285714285714,0,-923.292529383284
0.35,0.07,0.02,0.16,3.5,1.2,0.2,1,1,-2,-0.9,1,4,0.12,0.1,0.7,0.8,1.2,4,0.45,2.5,0.2,0.3,1.3,2,0,32.0357377529144,999,999,50,50,0,-8492.5
0.45,0.07,0.02,0.08,3,2.4,0.4,2,2,-1,-0.7,2.5,4,0.12,0.2,1,1.5,1,2,0.25,3,0.5,0.3,1.3,1,12,99.6596512794495,8.30497093995412,0.381173705432491,50,4.16666666666667,0,-842.668295877048
0.15,0.03,0.005,0.18,2,1.2,0.5,5,3,-0.5,-0.9,1,7,0.04,0.05,0.5,2,1,1,0.45,2,0.5,0.4,1.3,2,9,135.066408872604,15.0073787636227,0.233495827749325,0,0,0,96.3140739521966
0.35,0.03,0.02,0.22,3,1.5,0.3,4,5,-1.5,-0.3,2,7,0.04,0.3,0.4,0.8,1.5,4,0.35,2,0.2,0.3,1.3,1.2,0,50.2612297534943,999,999,50,50,0,-8492.5
0.35,0.07,0.02,0.08,2.5,2.1,0.8,4,2,-1.5,-0.3,1,4,0.06,0.05,1,1.2,1,2,0.35,1.5,0.1,0.3,1,1.5,14,109.611318349838,7.8293798821313,0.579209382763978,50,3.57142857142857,0,-812.469496619148
0.2,0.07,0.01,0.14,2.5,2.1,0.4,3,4,-1.5,-0.7,1.5,5,0.04,0.15,0.25,1.2,1.2,8,0.45,2,0.5,0.4,1.3,1.5,13,135.029873609543,10.3869133545802,0.305707862670379,1,0.0769230769230769,0,147.504177300198
0.15,0.05,0.015,0.18,1.5,1.8,0.3,4,3,-2.5,-0.3,1,6,0.08,0.2,0.5,2,0.8,6,0.35,2.5,0.2,0.7,0.8,1.2,12,135.036669969559,11.2530558307966,0.800029834192536,5,0.416666666666667,0,47.8672112520459
0.35,0.03,0.01,0.08,1.5,1.5,0.2,3,2,-1.5,-0.3,2,4,0.1,0.3,0.5,0.8,1.5,8,0.6,2,0.5,0.7,0.8,2,13,120.324992895126,9.25576868424049,0.399566729266307,50,3.84615384615385,0,-830.137255356933
0.35,0.03,0.02,0.14,3,2.1,0.5,4,2,-2.5,-0.7,0.5,1,0.06,0.3,0.4,1.5,0.8,1,0.6,1.5,0.5,0.5,1.3,1.2,9,89.8404743671417,9.98227492968241,0.726452471310269,50,5.55555555555556,0,-893.587949680757
0.4,0.07,0.02,0.18,3.5,1.8,0.2,2,3,-0.5,-0.7,1,3,0.06,0.3,0.25,0.8,0.8,4,0.35,3,0.25,0.4,0.6,1.5,0,27.6039781570435,999,999,50,50,0,-8492.5
0.45,0.07,0.03,0.12,1.5,2.4,0.5,3,4,-1.5,-0.3,1.5,4,0.08,0.3,0.25,1.2,1.5,8,0.25,2.5,0.25,0.7,0.8,1.2,6,64.9743342399597,10.82905570666,0.332799587487022,50,8.33333333333333,0,-938.736637204085
0.35,0.05,0.005,0.08,3,2.4,0.6,2,3,-1.5,-0.5,1,7,0.08,0.05,0.25,1.2,0.8,6,0.25,1.5,0.1,0.4,0.6,1.2,14,135.060801506042,9.64720010757446,0.295779880206269,45,3.21428571428571,0,-715.596899669967
0.25,0.05,0.01,0.14,3,1.2,0.2,3,4,-1,-0.9,2,4,0.08,0.1,0.25,1.5,0.8,4,0.25,2.5,0.2,0.4,1,1.2,6,91.2156543731689,15.2026090621948,3.27080542078732,50,8.33333333333333,0,-964.360549759424
0.3,0.07,0.015,0.22,2.5,2.4,0.8,1,5,-2,-0.3,2,4,0.1,0.2,1,1.5,2,1,0.35,3,0.25,0.7,1.3,2,15,126.718901157379,8.44792674382528,0.264690472375648,45,3,1,-697.443269221442
0.45,0.03,0.005,0.16,3.5,1.8,0.3,5,5,-2,-0.1,1,2,0.04,0.05,0.4,1.2,0.8,2,0.35,3,0.25,0.7,0.8,2,0,56.7460513114929,999,999,50,50,0,-8492.5
0.3,0.05,0.02,0.22,3,2.4,0.8,1,5,-1.5,-0.5,1,4,0.04,0.05,0.7,1.2,1.5,4,0.45,1.5,0.1,0.7,0.8,2,6,79.0617718696594,13.1769619782766,1.31904575358149,50,8.33333333333333,0,-949.537633713599
0.45,0.05,0.015,0.14,3.5,1.2,0.3,3,5,-2.5,-0.9,2,7,0.1,0.2,0.5,2,2,6,0.6,2.5,0.2,0.4,1.3,2,0,40.0419371128082,999,999,50,50,0,-8492.5
0.45,0.07,0.03,0.08,2.5,1.2,0.2,4,5,-0.5,-0.1,2.5,6,0.08,0.15,0.7,1.5,0.8,1,0.35,1.5,0.25,0.3,1.3,1,12,94.069721698761,7.83914347489675,0.559708650214665,50,4.16666666666667,0,-842.396401938315
0.2,0.03,0.01,0.08,1.5,1.8,0.8,1,1,-0.5,-0.7,1,2,0.06,0.15,0.5,1.5,2,8,0.45,3,0.35,0.3,1.3,1,4,75.6927366256714,18.9231841564178,0.0954796808663252,50,12.5,0,-987.785358795376
0.2,0.05,0.015,0.14,3.5,1.5,0.7,5,5,-2.5,-0.1,0.5,4,0.04,0.2,0.4,1.5,1,2,0.35,2.5,0.5,0.4,0.6,1.5,0,38.5207047462463,999,999,50,50,0,-8492.5
0.45,0.03,0.02,0.12,3.5,2.4,0.6,1,1,-2,-0.9,2,3,0.1,0.15,0.4,2,1.2,1,0.35,1.5,0.5,0.5,0.8,1.5,4,52.7436714172363,13.1859178543091,3.5054393974149,50,12.5,0,-990.491991622847
0.3,0.05,0.005,0.14,2.5,1.5,0.8,1,1,-1.5,-0.1,0.5,4,0.04,0.3,0.25,0.8,1,1,0.45,1.5,0.2,0.4,0.6,1.2,14,135.029309988022,9.64495071343013,0.453547821530004,46,3.28571428571429,0,-736.380115891225
0.2,0.03,0.01,0.08,3.5,1.8,0.4,1,1,-1.5,-0.7,1,3,0.12,0.05,0.4,0.8,1,6,0.25,2,0.1,0.4,0.8,2,7,135.010581970215,19.287225995745,3.00790839772945,46,6.57142857142857,0,-878.25760697801
0.3,0.05,0.015,0.1,1.5,2.1,0.7,3,3,-2,-0.3,2.5,5,0.08,0.05,0.4,1.2,1,4,0.45,2.5,0.1,0.5,1,1.5,12,109.497946977615,9.12482891480128,0.557048519057552,50,4.16666666666667,0,-845.597314882291
0.45,0.03,0.01,0.2,3.5,2.1,0.2,4,4,-1,-0.1,0.5,2,0.08,0.2,0.7,1.5,1.5,1,0.45,3,0.25,0.3,1.3,1.2,0,52.7814683914185,999,999,50,50,0,-8492.5
0.45,0.05,0.02,0.1,3.5,1.5,0.3,1,2,-2.5,-0.9,2.5,1,0.06,0.1,0.5,2,1.2,8,0.45,3,0.25,0.3,0.8,2,2,46.6682207584381,23.3341103792191,999,50,25,0,-6023.33527594805
0.15,0.07,0.03,0.22,2.5,2.4,0.2,3,3,-2,-0.3,1,7,0.1,0.1,0.7,1.5,1,2,0.25,3,0.5,0.7,0.8,2,11,135.016934394836,12.2742667631669,0.472898997154701,12,1.09090909090909,0,-108.050161893691
0.3,0.03,0.02,0.22,3,2.1,0.2,6,1,-1,-0.3,2,7,0.1,0.05,0.25,1.5,1.5,8,0.25,2.5,0.2,0.5,0.6,1.2,0,46.7833688259125,999,999,50,50,0,-8492.5
0.25,0.03,0.03,0.1,3.5,1.2,0.4,6,1,-1,-0.1,1,7,0.04,0.3,0.7,1.5,1.2,1,0.35,2,0.35,0.5,0.8,2,10,135.043540477753,13.5043540477753,1.57245533468139,37,3.7,0,-631.623161792845
0.25,0.07,0.01,0.16,3,2.1,0.5,6,3,-1.5,-0.9,1,3,0.12,0.1,0.5,0.8,2,2,0.25,3,0.2,0.7,0.6,1,8,89.0078690052033,11.1259836256504,1.77003455158556,50,6.25,0,-916.665131822054
0.4,0.07,0.015,0.14,3.5,1.5,0.8,2,4,-0.5,-0.5,1.5,3,0.06,0.1,0.7,0.8,1.5,8,0.6,2.5,0.35,0.3,1.3,1.2,9,90.0970702171326,10.0107855796814,0.7956669193537,50,5.55555555555556,0,-894.005298545972
0.4,0.07,0.005,0.18,2,1.8,0.5,3,1,-2,-0.9,1,6,0.08,0.15,1,1.2,0.8,2,0.6,2.5,0.1,0.5,1,1.2,15,126.922862052917,8.46152413686117,0.419448123084206,47,3.13333333333333,1,-738.251050957574
0.35,0.07,0.015,0.2,3,2.4,0.3,1,1,-2,-0.9,2.5,7,0.1,0.15,0.5,0.8,1,8,0.35,3,0.35,0.4,0.8,1.5,6,68.2597365379334,11.3766227563222,2.50436526612619,50,8.33333333333333,0,-950.963383221437
0.3,0.05,0.03,0.2,3,2.4,0.8,1,1,-2,-0.1,0.5,7,0.06,0.2,0.25,0.8,0.8,8,0.45,2,0.2,0.5,1,2,5,70.1630146503449,14.032602930069,1.94112471890949,50,10,0,-969.78713091972
0.15,0.07,0.02,0.12,3,1.8,0.8,4,1,-2,-0.7,2.5,6,0.1,0.2,0.7,1.2,1,6,0.6,1.5,0.25,0.5,0.8,1.5,11,135.019897222519,12.2745361111381,0.735943294874423,23,2.09090909090909,0,-329.366056752217
0.4,0.03,0.03,0.1,2.5,1.2,0.3,4,3,-2.5,-0.5,1,7,0.1,0.15,0.4,1.2,1.2,6,0.6,3,0.2,0.4,1.3,1.2,10,93.0788450241089,9.30788450241089,0.743702568147728,50,5,0,-876.988224096766
0.35,0.03,0.02,0.22,2.5,2.4,0.3,2,5,-1,-0.5,1.5,5,0.04,0.1,0.5,2,1.2,6,0.6,2,0.25,0.4,1,1.5,14,115.041793823242,8.21727098737444,0.640144149512916,50,3.57142857142857,0,-813.743898216001
0.45,0.05,0.02,0.18,2.5,2.1,0.5,6,1,-1,-0.7,2,1,0.08,0.2,0.25,1.5,1.2,6,0.25,3,0.1,0.3,1.3,1.2,9,79.8275077342987,8.86972308158875,0.168839586161828,50,5.55555555555556,0,-888.018505634781
0.15,0.07,0.01,0.18,2.5,2.4,0.6,5,2,-2.5,-0.7,1.5,1,0.06,0.2,0.4,2,1,6,0.45,1.5,0.5,0.3,1.3,2,8,135.002134799957,16.8752668499947,0.225270255180958,18,2.25,0,-283.314518400891
0.4,0.03,0.03,0.16,3,1.2,0.8,5,3,-2,-0.3,2,6,0.06,0.15,0.5,1.2,0.8,8,0.6,3,0.2,0.5,0.6,1.5,7,73.9618890285492,10.5659841469356,1.39373416032324,50,7.14285714285714,0,-928.383631168955
0.45,0.03,0.02,0.22,3,1.5,0.3,4,3,-1.5,-0.7,1.5,6,0.06,0.05,0.7,1.5,2,8,0.35,2.5,0.1,0.3,0.6,2,2,52.5572130680084,26.2786065340042,999,51,25.5,0,-6050.69651633501
0.35,0.07,0.015,0.14,3,2.4,0.5,5,3,-1,-0.3,2,6,0.12,0.05,0.25,0.8,1.5,4,0.25,1.5,0.2,0.4,1,1,4,55.8803050518036,13.9700762629509,0.241093480861972,50,12.5,0,-976.130658061687
0.4,0.07,0.005,0.08,2,1.5,0.3,5,3,-0.5,-0.7,2.5,6,0.12,0.1,0.25,1.5,1,8,0.35,1.5,0.35,0.5,0.8,1.5,12,106.216797828674,8.85139981905619,0.39900840599985,50,4.16666666666667,0,-844.12354157764
0.2,0.05,0.02,0.16,2.5,1.5,0.7,6,3,-1.5,-0.9,2.5,6,0.1,0.1,1,2,1.2,4,0.6,2.5,0.25,0.3,1,1.2,15,133.014416456223,8.86762776374817,0.26203299525657,1,0.0666666666666667,1,181.520765614347
0.25,0.05,0.005,0.08,3,2.1,0.8,4,4,-1,-0.1,2,7,0.04,0.1,0.5,2,2,6,0.25,1.5,0.2,0.3,1.3,1.5,12,135.00900387764,11.2507503231367,0.270779026458911,21,1.75,0,-269.480770940136
0.45,0.03,0.01,0.18,1.5,2.1,0.6,6,3,-1.5,-0.5,2,3,0.06,0.3,0.25,0.8,0.8,6,0.6,3,0.25,0.4,0.6,1,11,91.7525868415833,8.34114425832575,1.41591373841601,50,4.54545454545455,0,-862.932429337895
0.25,0.07,0.015,0.2,3.5,1.8,0.5,1,2,-2.5,-0.1,1.5,4,0.08,0.3,0.4,1.5,1.5,6,0.6,3,0.25,0.5,0.6,1,0,43.1334435939789,999,999,50,50,0,-8492.5
0.4,0.05,0.02,0.2,2,1.2,0.5,6,3,-2.5,-0.9,1,5,0.06,0.1,0.7,1.2,1.5,1,0.25,3,0.25,0.7,1,1.2,11,90.3101522922516,8.21001384475014,0.685976185778912,50,4.54545454545455,0,-858.95491554077
0.2,0.07,0.005,0.12,2.5,1.2,0.3,4,4,-1.5,-0.5,2.5,4,0.12,0.15,0.5,1.5,1,2,0.45,3,0.1,0.4,0.6,1.5,14,135.00222158432,9.64301582745143,0.123327789513576,1,0.0714285714285714,0,165.275821483804
0.4,0.05,0.01,0.12,2,1.2,0.4,2,4,-2.5,-0.3,2,3,0.08,0.1,0.5,0.8,0.8,8,0.45,3,0.1,0.5,0.8,1.5,9,85.7584385871887,9.52871539857653,0.494749654910719,50,5.55555555555556,0,-891.295536770995
0.35,0.03,0.01,0.14,3.5,2.1,0.6,2,4,-1,-0.7,0.5,2,0.08,0.05,0.5,0.8,1.5,1,0.45,1.5,0.5,0.3,0.8,1.5,0,33.3392956256866,999,999,50,50,0,-8492.5
0.3,0.03,0.02,0.22,3,1.5,0.6,4,4,-1,-0.1,1,3,0.08,0.1,0.7,1.5,1,1,0.45,1.5,0.35,0.7,0.8,1.2,0,35.5455515384674,999,999,50,50,0,-8492.5
0.25,0.07,0.005,0.22,2.5,2.4,0.3,5,5,-2.5,-0.3,1.5,4,0.06,0.15,0.5,0.8,1.2,1,0.45,2.5,0.1,0.7,1,1.2,15,133.820848464966,8.92138989766439,0.38396112809896,36,2.4,1,-519.223280384656
0.15,0.03,0.015,0.16,3,2.1,0.3,4,2,-0.5,-0.5,2,4,0.1,0.15,0.25,1.2,1,6,0.45,2.5,0.1,0.4,1.3,2,0,52.1485505104065,999,999,50,50,0,-8492.5
0.35,0.07,0.01,0.14,2.5,2.1,0.4,3,2,-1.5,-0.1,0.5,4,0.12,0.3,0.5,2,1.5,2,0.6,2.5,0.5,0.7,0.6,1,13,96.5195150375366,7.42457807981051,0.59805791432778,50,3.84615384615385,0,-826.551734771165
0.25,0.03,0.03,0.1,1.5,1.8,0.7,6,2,-1.5,-0.9,0.5,1,0.12,0.05,0.25,0.8,0.8,6,0.35,2,0.2,0.5,1,1.5,15,120.140796661377,8.0093864440918,0.360707105142507,41,2.73333333333333,1,-616.827001635942
0.15,0.05,0.015,0.12,2.5,2.4,0.8,6,1,-2,-0.3,1.5,4,0.06,0.05,0.4,2,2,1,0.25,1.5,0.35,0.7,1.3,2,7,135.058929920197,19.2941328457424,0.966401638086581,19,2.71428571428571,0,-328.067340304789
0.25,0.05,0.02,0.22,2,2.1,0.2,3,3,-2.5,-0.9,1.5,2,0.1,0.1,1,2,1,8,0.35,2.5,0.1,0.7,0.6,1.2,15,121.554900884628,8.10366005897522,0.531732954482909,31,2.06666666666667,1,-417.917814919853
0.3,0.05,0.01,0.2,2,1.5,0.6,3,3,-0.5,-0.1,2.5,3,0.1,0.05,1,1.2,0.8,8,0.35,3,0.35,0.3,1,1.2,15,126.34893655777,8.42326243718465,0.331295007994447,48,3.2,1,-757.714631132934
0.3,0.07,0.02,0.1,3,1.8,0.3,6,5,-2.5,-0.5,0.5,6,0.1,0.3,1,2,1.2,4,0.6,3,0.35,0.3,1.3,1,11,100.049675941467,9.09542508558794,0.364951296626177,50,4.54545454545455,0,-859.563319197101
0.25,0.07,0.03,0.08,1.5,1.5,0.7,1,4,-1.5,-0.1,2,7,0.08,0.1,1,1.5,1.2,4,0.45,2.5,0.5,0.3,1,2,13,135.00297832489,10.38484448653,0.764181260048699,41,3.15384615384615,0,-654.783017516569
0.2,0.05,0.02,0.2,3,1.2,0.5,1,5,-2.5,-0.3,2.5,2,0.08,0.2,0.5,1.2,1.2,6,0.6,2.5,0.5,0.7,1,1.5,2,61.5048518180847,30.7524259090424,999,50,25,0,-6041.88106477261
0.3,0.03,0.005,0.18,3.5,2.1,0.6,3,3,-2.5,-0.9,1,6,0.04,0.1,0.5,2,0.8,8,0.35,2.5,0.2,0.5,1,1.2,0,50.0424263477325,999,999,50,50,0,-8492.5
0.25,0.03,0.02,0.18,3.5,1.2,0.8,5,4,-2.5,-0.3,1,5,0.08,0.05,0.7,1.5,1,8,0.35,2.5,0.2,0.3,1.3,1.2,0,68.7091538906097,999,999,50,50,0,-8492.5
0.3,0.07,0.015,0.2,1.5,1.2,0.8,4,2,-1.5,-0.3,0.5,4,0.1,0.2,0.25,0.8,1.2,4,0.6,2,0.35,0.5,1,1,10,91.6348097324371,9.16348097324371,0.624253842229552,50,5,0,-876.029971644257
0.3,0.03,0.005,0.22,2.5,1.8,0.5,1,3,-2.5,-0.9,2,7,0.04,0.2,0.25,0.8,0.8,1,0.25,2.5,0.25,0.4,1,1,14,135.036343336105,9.6454530954361,0.842681929698234,34,2.42857142857143,0,-498.327042387081
